name,County,pop_range,impact_score,access_tier,dist_to_finance_km,Town_Latitude,Town_Longitude,walking_hours
Kapchebelei,Elgeyo-Marakwet,500 - 10k people,50.0,Tier 4: Critical Desert (>10km),25.17301326878365,0.28329999214909624,35.56660000230181,5.0
Sigomere,Siaya,500 - 10k people,11.0,Tier 3: Underserved (5-10km),5.617769391164784,0.20249999155577528,34.363600002406955,1.1
Kabimoi,Baringo,500 - 10k people,14.0,Tier 3: Underserved (5-10km),7.01540298837166,0.024257992942772283,35.78507800209824,1.4
Bulungo,Siaya,500 - 10k people,43.0,Tier 4: Critical Desert (>10km),21.316342506080936,0.016599991852820763,34.100000002320336,4.3
Bunyore,Vihiga,500 - 10k people,15.0,Tier 3: Underserved (5-10km),7.318249487845514,0.08329999202120088,34.61660000229832,1.5
Nyahururu,Laikipia,10k - 100k people,0.0,Tier 1: High Access (0-2km),0.2318475294320844,0.033299993314418956,36.366600002015794,0.0
Boro,Siaya,500 - 10k people,13.0,Tier 3: Underserved (5-10km),6.345345773508484,0.08579999176662385,34.2350000023479,1.3
Tumeiyo,Elgeyo-Marakwet,500 - 10k people,45.0,Tier 4: Critical Desert (>10km),22.29306671947632,0.28329999217161556,35.60000000229714,4.5
Kibebetiet,Nandi,500 - 10k people,52.0,Tier 4: Critical Desert (>10km),25.986627748322583,0.39999999149423227,35.033300002451064,5.2
Olngarua,Laikipia,500 - 10k people,56.0,Tier 4: Critical Desert (>10km),27.97941548306866,0.2832999926481361,36.300000002194935,5.6
Merille,Marsabit,500 - 10k people,162.0,Tier 4: Critical Desert (>10km),81.12830724832878,1.4156820906904846,37.72248600277289,16.2
Merti,Isiolo,500 - 10k people,184.0,Tier 4: Critical Desert (>10km),92.2134474251246,1.0665999923256686,38.666600002360916,18.4
Akala,Siaya,500 - 10k people,23.0,Tier 4: Critical Desert (>10km),11.432190321081947,0.06659999194345008,34.43330000231094,2.3
Machege,Baringo,500 - 10k people,26.0,Tier 4: Critical Desert (>10km),12.83864220825214,0.08329999288558246,35.91660000211802,2.6
Mureko,Kakamega,500 - 10k people,5.0,Tier 2: Moderate Access (2-5km),2.56126435602792,0.23329999155586456,34.48330000241206,0.5
Kipkabus,Uasin Gishu,500 - 10k people,35.0,Tier 4: Critical Desert (>10km),17.568042364342737,0.29999999206197303,35.50000000232221,3.5
Kamusinga,Bungoma,500 - 10k people,40.0,Tier 4: Critical Desert (>10km),20.069740481856115,0.7999999902267234,34.70000000275672,4.0
Arwos,Nandi,500 - 10k people,49.0,Tier 4: Critical Desert (>10km),24.494179487490744,0.19999999211342354,35.20000000229724,4.9
Kholera,Kakamega,500 - 10k people,18.0,Tier 3: Underserved (5-10km),9.147531575311847,0.4168999910780509,34.47110000253256,1.8
Mbwekas,Busia,500 - 10k people,8.0,Tier 2: Moderate Access (2-5km),4.174361219612085,0.4498768907821784,34.15001930259183,0.8
Nyalilpuch,Baringo,500 - 10k people,64.0,Tier 4: Critical Desert (>10km),32.128689068404185,0.2332999926707633,36.15000000218373,6.4
Shamenek,Laikipia,500 - 10k people,17.0,Tier 3: Underserved (5-10km),8.594977529680243,0.09999999311604249,36.31660000206851,1.7
Kaathene,Meru,500 - 10k people,5.0,Tier 2: Moderate Access (2-5km),2.3362086882569133,0.2486949938720524,37.92587800190346,0.5
Athinai,Baringo,500 - 10k people,20.0,Tier 4: Critical Desert (>10km),10.11916172374573,0.0665999929719921,35.9833000020969,2.0
Biretwo,Elgeyo-Marakwet,500 - 10k people,28.0,Tier 4: Critical Desert (>10km),14.219857396674234,0.5491416914623469,35.55600810248102,2.8
Hubsoy,Wajir,500 - 10k people,87.0,Tier 4: Critical Desert (>10km),43.68171214199975,1.3924700926709146,40.256659802309876,8.7
Kulaley,Wajir,500 - 10k people,31.0,Tier 4: Critical Desert (>10km),15.427117604867355,1.6124981919742363,40.12451180250527,3.1
Kipcherere,Baringo,500 - 10k people,34.0,Tier 4: Critical Desert (>10km),16.90894362790244,0.5952363915486792,35.85717200247075,3.4
Muchiene,Meru,500 - 10k people,26.0,Tier 4: Critical Desert (>10km),13.08985814125338,0.09999999395920738,37.533300001868575,2.6
Esageri,Baringo,500 - 10k people,21.0,Tier 4: Critical Desert (>10km),10.6026581049901,0.016599992982853872,35.816600002088485,2.1
Chewani,Tana River,500 - 10k people,18.0,Tier 3: Underserved (5-10km),9.159720251250105,-1.4166000008827078,40.0166000003042,1.8
Karamoja Hunting Area,Other / Border,500 - 10k people,204.0,Tier 4: Critical Desert (>10km),102.20956901201318,2.506379585511947,34.90986160390143,20.4
Kaloo / Kasamba,Kisumu,500 - 10k people,39.0,Tier 4: Critical Desert (>10km),19.628905041853596,-0.24859320699111706,34.87695730204992,3.9
Kamidumbi,Kisumu,500 - 10k people,38.0,Tier 4: Critical Desert (>10km),18.762820924355335,-0.16790120715834372,34.92159030209569,3.8
Ahero Town,Kisumu,500 - 10k people,37.0,Tier 4: Critical Desert (>10km),18.642005962970405,-0.17046120715385518,34.918879202094416,3.7
Oyoo Osanga B,Kisumu,500 - 10k people,32.0,Tier 4: Critical Desert (>10km),15.911975430482263,-0.18498270714069476,34.884788002089735,3.2
Konyino,Kisumu,500 - 10k people,13.0,Tier 3: Underserved (5-10km),6.503663379375455,-0.15201920727267684,34.8059562021217,1.3
Kapteren,Elgeyo-Marakwet,500 - 10k people,23.0,Tier 4: Critical Desert (>10km),11.383685838446867,0.5665999913677668,35.483300002502524,2.3
Kogendo/kahongo,Kisumu,500 - 10k people,34.0,Tier 4: Critical Desert (>10km),16.77243546606744,-0.1834259071383119,34.89424430208944,3.4
Kolilo,Kisumu,500 - 10k people,31.0,Tier 4: Critical Desert (>10km),15.526837458859257,-0.17845150715699,34.88423210209402,3.1
Kapiyo/kounda,Kisumu,500 - 10k people,30.0,Tier 4: Critical Desert (>10km),15.119896346192583,-0.13816200724533187,34.899753702117856,3.0
Kokowe,Kisumu,500 - 10k people,22.0,Tier 4: Critical Desert (>10km),10.882762701713155,-0.1487841072509004,34.8514479021176,2.2
Koloya,Kisumu,500 - 10k people,27.0,Tier 4: Critical Desert (>10km),13.365873649484413,-0.15437390722310135,34.87305710211106,2.7
Kagaya,Kisumu,500 - 10k people,27.0,Tier 4: Critical Desert (>10km),13.633848012642266,-0.14150120724777968,34.88350200211793,2.7
Kabala East,Kisumu,500 - 10k people,29.0,Tier 4: Critical Desert (>10km),14.590493917962966,-0.18709570714527723,34.869871402090425,2.9
Kadetin,Kisumu,500 - 10k people,28.0,Tier 4: Critical Desert (>10km),14.17637522412738,-0.15090300722453887,34.88386120211182,2.8
Kaim B,Kisumu,500 - 10k people,32.0,Tier 4: Critical Desert (>10km),16.0037889818308,-0.15594640720172112,34.899894602106365,3.2
Kadhiambo B,Kisumu,500 - 10k people,25.0,Tier 4: Critical Desert (>10km),12.397867232989032,-0.17472790718558448,34.85435540210051,2.5
Muhoroni,Kisumu,10k - 100k people,520.0,Tier 4: Critical Desert (>10km),25.989873834693437,-0.1565250070116294,35.187494002065954,5.2
Jera,Siaya,500 - 10k people,10.0,Tier 2: Moderate Access (2-5km),4.9433106438192995,0.28609999127713287,34.26250000247305,1.0
Riondonga,Kisii,500 - 10k people,7.0,Tier 2: Moderate Access (2-5km),3.5462820377544215,-0.7666000057812841,34.850000001724055,0.7
Paulo,Migori,500 - 10k people,2.0,Tier 1: High Access (0-2km),1.0763228443912825,-0.766600005940726,34.60000000176016,0.2
Ondiek's,Homa Bay,500 - 10k people,36.0,Tier 4: Critical Desert (>10km),17.79818433973236,-0.752436306170625,34.28894700181254,3.6
Nyenga,Homa Bay,500 - 10k people,31.0,Tier 4: Critical Desert (>10km),15.377933399318648,-0.7166000063732498,34.100000001860415,3.1
Ojuok,Migori,500 - 10k people,11.0,Tier 3: Underserved (5-10km),5.7467148874465614,-0.7666000059724883,34.55000000176723,1.1
Ogembo,Kisii,10k - 100k people,290.0,Tier 4: Critical Desert (>10km),14.43098104246306,-0.7995650057848877,34.72502900172151,2.9
Naivasha,Nakuru,10k - 100k people,20.0,Tier 1: High Access (0-2km),0.8754656237753541,-0.7224425048450765,36.43878340150132,0.2
Ndamichoni,Bomet,500 - 10k people,20.0,Tier 4: Critical Desert (>10km),10.189571506709784,-0.8000000054902355,35.18330000165324,2.0
Musa Nyandusi,Kisii,500 - 10k people,5.0,Tier 2: Moderate Access (2-5km),2.494450313106251,-0.7166000059079405,34.83330000175805,0.5
Mbuvu,Kitui,500 - 10k people,92.0,Tier 4: Critical Desert (>10km),46.087013729676144,-0.7500000034221843,38.43330000111233,9.2
Mavuria,Embu,500 - 10k people,46.0,Tier 4: Critical Desert (>10km),22.796753503807277,-0.7833000038888462,37.6500000012429,4.6
Luanda,Migori,500 - 10k people,16.0,Tier 3: Underserved (5-10km),8.15446509603498,-0.8000000061056247,34.21660000179294,1.6
Kimuu,Kitui,500 - 10k people,104.0,Tier 4: Critical Desert (>10km),52.14979871433687,-0.7666000033385683,38.50000000108743,10.4
Keroka,Nyamira,10k - 100k people,0.0,Tier 1: High Access (0-2km),0.11243756287447743,-0.7781996056922186,34.94721450170243,0.0
Karaba,Embu,500 - 10k people,40.0,Tier 4: Critical Desert (>10km),19.84373153124462,-0.7666000041198472,37.36660000130727,4.0
Karaba Special Camp,Kirinyaga,500 - 10k people,43.0,Tier 4: Critical Desert (>10km),21.62852460936106,-0.7333000041496532,37.433300001317264,4.3
Jara Malka,Tana River,500 - 10k people,65.0,Tier 4: Critical Desert (>10km),32.26617715096863,-0.7001141025643935,39.8000046008576,6.5
Kakunike,Kitui,500 - 10k people,74.0,Tier 4: Critical Desert (>10km),37.05450950933836,-0.766600003443132,38.350000001117664,7.4
Gikuu,Murang'a,500 - 10k people,20.0,Tier 3: Underserved (5-10km),9.876978150670322,-0.7166000043123383,37.25000000136223,2.0
Heni Village,Nyandarua,500 - 10k people,21.0,Tier 4: Critical Desert (>10km),10.35709021755034,-0.7846088046224695,36.56008510143965,2.1
